ceasa_origem;data_cotacao;preco_kg_brl;fontes_coleta
CEASA/Campinas;06/05/2026;4,25;Agrolink
CEASA/Brasília;30/04/2026;4,42;Agrolink / CEASA-DF
CEASAMINAS/BH;08/05/2026;4.50;https://minas1.ceasa.mg.gov.br/ceasainternet/cst_precosmaiscomumEstados/cst_precosmaiscomumEstados.php
CEAGESP/SP;06/05/2026;4.64;https://minas1.ceasa.mg.gov.br/ceasainternet/cst_precosmaiscomumEstados/cst_precosmaiscomumEstados.php
CEASA/RJ;06/05/2026;5.00;https://minas1.ceasa.mg.gov.br/ceasainternet/cst_precosmaiscomumEstados/cst_precosmaiscomumEstados.php
