ceasa,preco_kg,data_cotacao,fonte
Belo Horizonte (CEASAMINAS),3.75,2026-09-07,Agrolink (CEASAMINAS)
Campinas (CEASA Campinas),4.5,2026-09-07,Agrolink (CEASA Campinas)
Vitória (CEASA ES),5.0,2026-09-08,Agrolink (CEASA ES)
Recife (CEASA PE),1.95,2026-09-08,Agrolink (CEASA PE)
Ribeirão Preto (CEAGESP),5.56,2026-09-08,Agrolink (CEAGESP)
