ceasa,preco_kg,data_cotacao,fonte
Belo Horizonte (CEASAMINAS),4.0,2026-08-03,Agrolink (CEASAMINAS)
Rio de Janeiro (CEASA RJ),3.25,2026-08-03,Agrolink (CEASA RJ)
Campinas (CEASA Campinas),4.75,2026-08-03,Agrolink (CEASA Campinas)
Salvador (CEASA BA),2.9,2026-08-03,Agrolink (CEASA BA)
Curitiba (CEASA PR),4.0,2026-08-03,Agrolink (CEASA PR)
