ceasa,preco_kg,data_cotacao,fonte
Rio de Janeiro (CEASA RJ),4.0,2026-09-22,Agrolink (CEASA RJ)
Curitiba (CEASA PR),4.0,2026-09-22,Agrolink (CEASA PR)
Vitória (CEASA ES),4.5,2026-09-23,Agrolink (CEASA ES)
Recife (CEASA PE),1.95,2026-09-23,Agrolink (CEASA PE)
Ribeirão Preto (CEAGESP),4.84,2026-09-23,Agrolink (CEAGESP)
