ceasa,preco_kg,data_cotacao,fonte
Rio de Janeiro (CEASA RJ),3.0,2026-07-30,Agrolink (CEASA RJ)
Vitória (CEASA ES),5.0,2026-07-31,Agrolink (CEASA ES)
Fortaleza (CEASA CE),4.0,2026-07-31,Agrolink (CEASA CE)
Recife (CEASA PE),2.27,2026-07-31,Agrolink (CEASA PE)
Ribeirão Preto (CEAGESP),4.76,2026-07-31,Agrolink (CEAGESP)
