ceasa,preco_kg,data_cotacao,fonte
Belo Horizonte (CEASAMINAS),4.0,2026-08-14,Agrolink (CEASAMINAS)
Rio de Janeiro (CEASA RJ),3.5,2026-08-14,Agrolink (CEASA RJ)
Campinas (CEASA Campinas),4.75,2026-08-14,Agrolink (CEASA Campinas)
Vitória (CEASA ES),5.33,2026-08-14,Agrolink (CEASA ES)
Fortaleza (CEASA CE),4.0,2026-08-14,Agrolink (CEASA CE)
