ceasa,preco_kg,data_cotacao,fonte
Brasília (CEASA DF),4.74,2026-09-10,Agrolink (CEASA DF)
Curitiba (CEASA PR),4.0,2026-09-10,Agrolink (CEASA PR)
Vitória (CEASA ES),5.0,2026-09-11,Agrolink (CEASA ES)
Recife (CEASA PE),1.95,2026-09-10,Agrolink (CEASA PE)
Ribeirão Preto (CEAGESP),5.56,2026-09-11,Agrolink (CEAGESP)
