ceasa,preco_kg,data_cotacao,fonte
Salvador (CEASA BA),3.3,2026-08-28,Agrolink (CEASA BA)
Curitiba (CEASA PR),4.0,2026-08-31,Agrolink (CEASA PR)
Vitória (CEASA ES),5.17,2026-08-31,Agrolink (CEASA ES)
Recife (CEASA PE),1.95,2026-08-31,Agrolink (CEASA PE)
Ribeirão Preto (CEAGESP),4.76,2026-08-31,Agrolink (CEAGESP)
