ceasa,preco_kg,data_cotacao,fonte
Brasília (CEASA DF),3.89,2026-07-23,Agrolink (CEASA DF)
Vitória (CEASA ES),5.0,2026-07-23,Agrolink (CEASA ES)
Recife (CEASA PE),2.27,2026-07-23,Agrolink (CEASA PE)
Ribeirão Preto (CEAGESP),4.76,2026-07-23,Agrolink (CEAGESP)
Cuiabá (CEASA MT),5.79,2026-07-23,Agrolink (CEASA MT)
