ceasa,preco_kg,data_cotacao,fonte
Brasília (CEASA DF),4.63,2026-09-03,Agrolink (CEASA DF)
Vitória (CEASA ES),5.0,2026-09-04,Agrolink (CEASA ES)
Recife (CEASA PE),1.95,2026-09-04,Agrolink (CEASA PE)
Ribeirão Preto (CEAGESP),4.76,2026-09-04,Agrolink (CEAGESP)
Cuiabá (CEASA MT),6.05,2026-09-04,Agrolink (CEASA MT)
