ceasa,preco_kg,data_cotacao,fonte
Belo Horizonte (CEASAMINAS),4.0,2026-07-31,Agrolink (CEASAMINAS)
Rio de Janeiro (CEASA RJ),3.0,2026-07-31,Agrolink (CEASA RJ)
Campinas (CEASA Campinas),4.75,2026-07-31,Agrolink (CEASA Campinas)
Vitória (CEASA ES),5.0,2026-07-31,Agrolink (CEASA ES)
Fortaleza (CEASA CE),4.0,2026-07-31,Agrolink (CEASA CE)
