ceasa,preco_kg,data_cotacao,fonte
Brasília (CEASA DF),4.74,2026-08-27,Agrolink (CEASA DF)
Vitória (CEASA ES),5.0,2026-08-27,Agrolink (CEASA ES)
Fortaleza (CEASA CE),4.0,2026-08-27,Agrolink (CEASA CE)
Recife (CEASA PE),1.95,2026-08-27,Agrolink (CEASA PE)
Ribeirão Preto (CEAGESP),4.76,2026-08-27,Agrolink (CEAGESP)
