ceasa,preco_kg,data_cotacao,fonte
Rio de Janeiro (CEASA RJ),3.0,2026-07-28,Agrolink (CEASA RJ)
Curitiba (CEASA PR),4.0,2026-07-28,Agrolink (CEASA PR)
Vitória (CEASA ES),5.0,2026-07-29,Agrolink (CEASA ES)
Fortaleza (CEASA CE),4.0,2026-07-28,Agrolink (CEASA CE)
Recife (CEASA PE),2.27,2026-07-29,Agrolink (CEASA PE)
