ceasa,preco_kg,data_cotacao,fonte
Brasília (CEASA DF),4.21,2026-08-20,Agrolink (CEASA DF)
Vitória (CEASA ES),5.17,2026-08-21,Agrolink (CEASA ES)
Recife (CEASA PE),2.27,2026-08-21,Agrolink (CEASA PE)
Ribeirão Preto (CEAGESP),4.76,2026-08-21,Agrolink (CEAGESP)
Cuiabá (CEASA MT),6.05,2026-08-21,Agrolink (CEASA MT)
