ceasa,preco_kg,data_cotacao,fonte
Belo Horizonte (CEASAMINAS),3.75,2026-09-02,Agrolink (CEASAMINAS)
Rio de Janeiro (CEASA RJ),3.5,2026-09-02,Agrolink (CEASA RJ)
Salvador (CEASA BA),3.3,2026-09-02,Agrolink (CEASA BA)
Curitiba (CEASA PR),4.0,2026-09-02,Agrolink (CEASA PR)
Vitória (CEASA ES),5.0,2026-09-02,Agrolink (CEASA ES)
