ceasa,preco_kg,data_cotacao,fonte
Salvador (CEASA BA),3.3,2026-09-02,Agrolink (CEASA BA)
Vitória (CEASA ES),5.0,2026-09-02,Agrolink (CEASA ES)
Recife (CEASA PE),1.95,2026-09-02,Agrolink (CEASA PE)
Ribeirão Preto (CEAGESP),4.76,2026-09-02,Agrolink (CEAGESP)
Cuiabá (CEASA MT),6.05,2026-09-02,Agrolink (CEASA MT)
