ceasa,preco_kg,data_cotacao,fonte
Vitória (CEASA ES),5.0,2026-07-30,Agrolink (CEASA ES)
Fortaleza (CEASA CE),4.0,2026-07-30,Agrolink (CEASA CE)
Recife (CEASA PE),2.27,2026-07-30,Agrolink (CEASA PE)
Ribeirão Preto (CEAGESP),4.76,2026-07-30,Agrolink (CEAGESP)
Cuiabá (CEASA MT),5.79,2026-07-30,Agrolink (CEASA MT)
