data_cotacao,produto,regiao,unidade,preco,fonte
2026-07-03,Prata anã primeira - produtor,Vale do São Francisco,quilograma,2.25,Hortifruti/Cepea (CC BY-NC 4.0)
2026-07-03,Prata litoral primeira - atacado,São Paulo (capital),Caixa 20 Kg,62.50,Hortifruti/Cepea (CC BY-NC 4.0)
2026-07-03,Prata litoral primeira - produtor,Bom Jesus da Lapa,quilograma,1.60,Hortifruti/Cepea (CC BY-NC 4.0)
2026-07-03,Prata litoral primeira - produtor,Delfinópolis,quilograma,2.80,Hortifruti/Cepea (CC BY-NC 4.0)
2026-07-03,Prata litoral primeira - produtor,Norte de Santa Catarina,quilograma,2.22,Hortifruti/Cepea (CC BY-NC 4.0)
2026-07-03,Prata litoral primeira - produtor,Vale do Ribeira,quilograma,2.55,Hortifruti/Cepea (CC BY-NC 4.0)
2026-07-10,Nanica primeira - atacado,São Paulo (capital),caixa de 22 Kg,52.50,Hortifruti/Cepea (CC BY-NC 4.0)
2026-07-10,Nanica primeira - produtor,Bom Jesus da Lapa,quilograma,1.72,Hortifruti/Cepea (CC BY-NC 4.0)
2026-07-10,Nanica primeira - produtor,Linhares,quilograma,1.20,Hortifruti/Cepea (CC BY-NC 4.0)
2026-07-10,Nanica primeira - produtor,Norte de Minas Gerais,quilograma,2.00,Hortifruti/Cepea (CC BY-NC 4.0)
2026-07-10,Nanica primeira - produtor,Norte de Santa Catarina,quilograma,1.11,Hortifruti/Cepea (CC BY-NC 4.0)
2026-07-10,Nanica primeira - produtor,Vale do Ribeira,quilograma,1.67,Hortifruti/Cepea (CC BY-NC 4.0)
2026-07-10,Prata anã primeira - atacado,São Paulo (capital),Caixa 20 Kg,110.00,Hortifruti/Cepea (CC BY-NC 4.0)
2026-07-10,Prata anã primeira - produtor,Bom Jesus da Lapa,quilograma,1.91,Hortifruti/Cepea (CC BY-NC 4.0)
2026-07-10,Prata anã primeira - produtor,Delfinópolis,quilograma,2.74,Hortifruti/Cepea (CC BY-NC 4.0)
2026-07-10,Prata anã primeira - produtor,Linhares,quilograma,2.00,Hortifruti/Cepea (CC BY-NC 4.0)
2026-07-10,Prata anã primeira - produtor,Norte de Minas Gerais,quilograma,2.72,Hortifruti/Cepea (CC BY-NC 4.0)
2026-07-10,Prata anã primeira - produtor,Vale do São Francisco,quilograma,1.83,Hortifruti/Cepea (CC BY-NC 4.0)
