ceasa,preco_kg,data_cotacao,fonte
Brasília (CEASA DF),3.68,2026-09-24,Agrolink (CEASA DF)
Vitória (CEASA ES),4.5,2026-09-24,Agrolink (CEASA ES)
Recife (CEASA PE),1.95,2026-09-24,Agrolink (CEASA PE)
Ribeirão Preto (CEAGESP),4.84,2026-09-24,Agrolink (CEAGESP)
Cuiabá (CEASA MT),5.79,2026-09-24,Agrolink (CEASA MT)
