ceasa,preco_kg,data_cotacao,fonte
Brasília (CEASA DF),3.89,2026-07-23,Agrolink (CEASA DF)
Curitiba (CEASA PR),4.0,2026-07-23,Agrolink (CEASA PR)
Vitória (CEASA ES),5.0,2026-07-24,Agrolink (CEASA ES)
Fortaleza (CEASA CE),4.0,2026-07-23,Agrolink (CEASA CE)
Recife (CEASA PE),2.27,2026-07-24,Agrolink (CEASA PE)
