ceasa,preco_kg,data_cotacao,fonte
Belo Horizonte (CEASAMINAS),3.5,2026-09-18,Agrolink (CEASAMINAS)
Rio de Janeiro (CEASA RJ),4.0,2026-09-18,Agrolink (CEASA RJ)
Campinas (CEASA Campinas),4.5,2026-09-18,Agrolink (CEASA Campinas)
Brasília (CEASA DF),3.68,2026-09-17,Agrolink (CEASA DF)
Salvador (CEASA BA),2.9,2026-09-18,Agrolink (CEASA BA)
