ceasa,preco_kg,data_cotacao,fonte
Curitiba (CEASA PR),4.0,2026-07-22,Agrolink (CEASA PR)
Vitória (CEASA ES),5.0,2026-07-22,Agrolink (CEASA ES)
Fortaleza (CEASA CE),4.0,2026-07-22,Agrolink (CEASA CE)
Recife (CEASA PE),2.27,2026-07-22,Agrolink (CEASA PE)
Ribeirão Preto (CEAGESP),4.76,2026-07-21,Agrolink (CEAGESP)
