ceasa,preco_kg,data_cotacao,fonte
Belo Horizonte (CEASAMINAS),3.75,2026-07-24,Agrolink (CEASAMINAS)
Rio de Janeiro (CEASA RJ),2.5,2026-07-24,Agrolink (CEASA RJ)
Campinas (CEASA Campinas),5.0,2026-07-24,Agrolink (CEASA Campinas)
Salvador (CEASA BA),3.1,2026-07-24,Agrolink (CEASA BA)
Curitiba (CEASA PR),4.0,2026-07-24,Agrolink (CEASA PR)
