ceasa,preco_kg,data_cotacao,fonte
Belo Horizonte (CEASAMINAS),3.75,2026-08-31,Agrolink (CEASAMINAS)
Rio de Janeiro (CEASA RJ),3.5,2026-08-31,Agrolink (CEASA RJ)
Curitiba (CEASA PR),4.0,2026-08-31,Agrolink (CEASA PR)
Vitória (CEASA ES),5.17,2026-08-31,Agrolink (CEASA ES)
Fortaleza (CEASA CE),4.0,2026-08-31,Agrolink (CEASA CE)
