ceasa,preco_kg,data_cotacao,fonte
Curitiba (CEASA PR),4.0,2026-08-05,Agrolink (CEASA PR)
Vitória (CEASA ES),5.0,2026-08-05,Agrolink (CEASA ES)
Recife (CEASA PE),2.27,2026-08-05,Agrolink (CEASA PE)
Ribeirão Preto (CEAGESP),4.76,2026-08-05,Agrolink (CEAGESP)
Cuiabá (CEASA MT),5.79,2026-08-05,Agrolink (CEASA MT)
