ceasa,preco_kg,data_cotacao,fonte
Rio de Janeiro (CEASA RJ),3.5,2026-08-13,Agrolink (CEASA RJ)
Brasília (CEASA DF),4.21,2026-08-13,Agrolink (CEASA DF)
Curitiba (CEASA PR),4.0,2026-08-13,Agrolink (CEASA PR)
Vitória (CEASA ES),5.33,2026-08-14,Agrolink (CEASA ES)
Fortaleza (CEASA CE),4.0,2026-08-14,Agrolink (CEASA CE)
