ceasa,preco_kg,data_cotacao,fonte
Salvador (CEASA BA),3.1,2026-08-24,Agrolink (CEASA BA)
Vitória (CEASA ES),5.17,2026-08-25,Agrolink (CEASA ES)
Recife (CEASA PE),1.95,2026-08-25,Agrolink (CEASA PE)
Ribeirão Preto (CEAGESP),4.76,2026-08-25,Agrolink (CEAGESP)
Cuiabá (CEASA MT),5.79,2026-08-25,Agrolink (CEASA MT)
