ceasa,preco_kg,data_cotacao,fonte
Rio de Janeiro (CEASA RJ),3.75,2026-08-07,Agrolink (CEASA RJ)
Campinas (CEASA Campinas),4.9,2026-08-07,Agrolink (CEASA Campinas)
Curitiba (CEASA PR),4.0,2026-08-07,Agrolink (CEASA PR)
Vitória (CEASA ES),5.0,2026-08-07,Agrolink (CEASA ES)
Fortaleza (CEASA CE),4.0,2026-08-07,Agrolink (CEASA CE)
