ceasa,preco_kg,data_cotacao,fonte
Rio de Janeiro (CEASA RJ),3.0,2026-09-11,Agrolink (CEASA RJ)
Salvador (CEASA BA),3.1,2026-09-11,Agrolink (CEASA BA)
Curitiba (CEASA PR),4.0,2026-09-11,Agrolink (CEASA PR)
Vitória (CEASA ES),5.0,2026-09-11,Agrolink (CEASA ES)
Ribeirão Preto (CEAGESP),5.56,2026-09-14,Agrolink (CEAGESP)
