ceasa,preco_kg,data_cotacao,fonte
Belo Horizonte (CEASAMINAS),3.75,2026-09-07,Agrolink (CEASAMINAS)
Rio de Janeiro (CEASA RJ),3.5,2026-09-08,Agrolink (CEASA RJ)
Campinas (CEASA Campinas),4.5,2026-09-07,Agrolink (CEASA Campinas)
Vitória (CEASA ES),5.0,2026-09-09,Agrolink (CEASA ES)
Fortaleza (CEASA CE),4.0,2026-09-08,Agrolink (CEASA CE)
