ceasa,preco_kg,data_cotacao,fonte
Rio de Janeiro (CEASA RJ),3.25,2026-08-25,Agrolink (CEASA RJ)
Vitória (CEASA ES),5.17,2026-08-25,Agrolink (CEASA ES)
Fortaleza (CEASA CE),4.0,2026-08-25,Agrolink (CEASA CE)
Recife (CEASA PE),1.95,2026-08-25,Agrolink (CEASA PE)
Ribeirão Preto (CEAGESP),4.76,2026-08-25,Agrolink (CEAGESP)
