ceasa,preco_kg,data_cotacao,fonte
Brasília (CEASA DF),4.74,2026-08-06,Agrolink (CEASA DF)
Vitória (CEASA ES),5.0,2026-08-07,Agrolink (CEASA ES)
Recife (CEASA PE),2.27,2026-08-07,Agrolink (CEASA PE)
Ribeirão Preto (CEAGESP),4.76,2026-08-07,Agrolink (CEAGESP)
Cuiabá (CEASA MT),5.79,2026-08-07,Agrolink (CEASA MT)
