ceasa,preco_kg,data_cotacao,fonte
Rio de Janeiro (CEASA RJ),3.0,2026-09-15,Agrolink (CEASA RJ)
Curitiba (CEASA PR),4.0,2026-09-15,Agrolink (CEASA PR)
Vitória (CEASA ES),4.67,2026-09-16,Agrolink (CEASA ES)
Recife (CEASA PE),1.95,2026-09-16,Agrolink (CEASA PE)
Ribeirão Preto (CEAGESP),5.56,2026-09-16,Agrolink (CEAGESP)
