ceasa,preco_kg,data_cotacao,fonte
Campinas (CEASA Campinas),4.75,2026-08-21,Agrolink (CEASA Campinas)
Salvador (CEASA BA),3.1,2026-08-21,Agrolink (CEASA BA)
Curitiba (CEASA PR),4.0,2026-08-21,Agrolink (CEASA PR)
Vitória (CEASA ES),5.17,2026-08-21,Agrolink (CEASA ES)
Fortaleza (CEASA CE),4.0,2026-08-21,Agrolink (CEASA CE)
