ceasa,preco_kg,data_cotacao,fonte
Rio de Janeiro (CEASA RJ),4.0,2026-09-21,Agrolink (CEASA RJ)
Salvador (CEASA BA),2.9,2026-09-21,Agrolink (CEASA BA)
Curitiba (CEASA PR),4.0,2026-09-21,Agrolink (CEASA PR)
Vitória (CEASA ES),5.17,2026-09-22,Agrolink (CEASA ES)
Recife (CEASA PE),1.95,2026-09-22,Agrolink (CEASA PE)
